"observationDate","stateProvince","decimalLatitude","decimalLongitude","scientificName","vernacularName","dataResourceName","basisOfRecord","recordID"
2015-04-06,"New South Wales",-33.85,151,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","a3ca4a84-cad6-45ea-b778-acd277b677be"
2017-03-23,"New South Wales",-33.611495,150.750796,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","eb3b8b07-83f0-4347-863e-9ece6b4869a4"
2015-04-03,"New South Wales",-33.61,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","6c73d7de-19d0-4e4f-92a0-a00933a40076"
2015-03-19,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","63433a00-391f-48a3-87bc-f52495050ca5"
2015-03-28,"New South Wales",-33.86,150.94,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","22ef0617-a5f8-4434-9e72-30888eea334b"
2015-03-27,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","63e5c8d5-db78-4b91-8263-aedc8c634a5b"
2015-03-24,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","2fe32f1e-e4b5-4c57-ab4b-d64c60a7694c"
2013-04-30,"New South Wales",-32.64,151.51,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","39591d75-0ad5-4431-89e3-d91b4d0d5e52"
2015-03-27,"New South Wales",-33.62,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","5e6448e3-b357-40b1-b463-418a5e648a07"
2013-03-28,"New South Wales",-34.04,151.15,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","370df9a1-f38e-4b30-adca-98bc4cd6f60a"
2013-04-29,"New South Wales",-33.61,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","3ef8a1e7-ee9b-4979-8a64-70461945ae1e"
2013-04-02,"New South Wales",-33.81,150.81,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","c9344b1c-414f-4ac7-82f5-7ae4e6b2a947"
2015-03-28,"New South Wales",-33.91,150.89,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","882d8fe9-cf77-4f27-8a05-7983975906aa"
2015-03-31,"New South Wales",-33.61,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","041e2b96-b5e8-4afd-89cd-b1535f44ac33"
2013-04-06,"New South Wales",-33.91,150.92,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","972705ec-417f-4f12-b74c-b84a8be53587"
2013-05-04,"New South Wales",-33.85,150.98,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","20f319ea-bffd-45b5-b6e9-f0e7452abd74"
2013-05-08,"Australian Capital Territory",-35.4,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","22345339-fcc0-44ff-97ea-9552bcea99ad"
2015-04-06,"New South Wales",-34.07,151.09,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7608f383-3062-422d-9d0b-45e6d85d50fd"
2015-12-12,"New South Wales",-33.88,150.88,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","3527c02d-808b-4d43-8c8c-95a42085f40e"
2015-03-26,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8fe950d0-0546-48f4-9161-683e0b8eeab3"
2015-08-05,"New South Wales",-33.71,150.96,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7542167c-2dbb-40c9-823a-1599bbe6d99d"
2015-03-31,"New South Wales",-33.91,150.9,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","efc50776-75f1-4429-a4d3-ad72c33c0999"
2015-01-03,"New South Wales",-33.86,150.95,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","25eac873-12d1-4f1b-bed5-ef1b931c5c0b"
2015-03-26,"New South Wales",-34.07,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","2ca65e9c-e4ab-46a7-9314-ec33c25ee677"
2017-03-17,"New South Wales",-33.848833,150.989768,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","6aa0b81f-18e0-416c-b77c-fa3fd1a3da6a"
2015-04-07,"New South Wales",-33.83,150.95,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","9c983dcc-7b0f-4645-9098-ba5591eb6d29"
2015-03-28,"New South Wales",-33.97,151.24,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","4fbcd643-96bb-47e9-84c6-a74752e91dbc"
2015-04-09,"New South Wales",-33.76,150.87,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","c6735ff7-7c2b-483c-9788-ab6790bf953e"
2017-03-28,"New South Wales",-33.810252,151.02618,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","ca06295d-7300-48ab-ad71-43901a2b5211"
2013-03-27,"New South Wales",-33.99,151.06,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","88f242fb-a63c-48c8-86ea-a701828ae479"
2013-05-07,"Victoria",-37.84258,144.963555,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","85a0792d-5d00-49f9-8a94-a180afe93f20"
2017-03-28,"New South Wales",-34.068753,150.79039,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","ea10bdae-e434-45d1-a97c-02fe00235025"
2017-03-15,"New South Wales",-34.069691,150.785724,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","b5d6a0d6-3a5a-42e9-bdfc-a8965ff656f4"
